,Carrera,Ciclo,Materia
168,Carrera de Ingeniería Civil,Ciclo IX,Evaluación de Impactos Ambientales
169,Carrera de Ingeniería Civil,Ciclo IX,Emprendimiento
170,Carrera de Ingeniería Civil,Ciclo IX,Prácticum 4.2
171,Carrera de Tecnologías de la Información ,Ciclo I,Algoritmos y Resolución de Problemas
172,Carrera de Tecnologías de la Información ,Ciclo I,Fundamentos Matemáticos
173,Carrera de Tecnologías de la Información ,Ciclo I,Fundamentos de Tecnologías de la Información
174,Carrera de Tecnologías de la Información ,Ciclo I,Metodología de la Investigación y Técnicas de Estudio
175,Carrera de Tecnologías de la Información ,Ciclo I,Computación y Sociedad
176,Carrera de Tecnologías de la Información ,Ciclo I,"Humanismo, Universidad y Cultura"
177,Carrera de Tecnologías de la Información ,Ciclo II,Álgebra Lineal
